Timestamp,Event,Duration(ms)
1725867842178,sendDepthBoxVertices,19
1725867844552,PositionUpdate,0
1725867844566,PositionUpdate,7
1725867844604,PositionUpdate,10
1725867844637,PositionUpdate,7
1725867844662,PositionUpdate,6
1725867844699,PositionUpdate,9
1725867844741,PositionUpdate,10
1725867844773,PositionUpdate,8
1725867844800,PositionUpdate,11
1725867844829,PositionUpdate,7
1725867844862,PositionUpdate,6
1725867844898,PositionUpdate,10
1725867844982,PositionUpdate,26
1725867844984,PositionUpdate,28
1725867845000,PositionUpdate,10
1725867845030,PositionUpdate,7
1725867845059,PositionUpdate,6
1725867845094,PositionUpdate,8
1725867845126,PositionUpdate,5
1725867845162,PositionUpdate,7
1725867845195,PositionUpdate,8
1725867845234,PositionUpdate,10
1725867845286,PositionUpdate,0
1725867845307,PositionUpdate,13
1725867845339,PositionUpdate,9
1725867847221,sendDepthBoxVertices,32
1725867848729,PositionUpdate,9
1725867848759,PositionUpdate,9
1725867848793,PositionUpdate,13
1725867848819,PositionUpdate,5
1725867848858,PositionUpdate,11
1725867848889,PositionUpdate,8
1725867848922,PositionUpdate,6
1725867848956,PositionUpdate,6
1725867848990,PositionUpdate,9
1725867849021,PositionUpdate,6
1725867849052,PositionUpdate,5
1725867849092,PositionUpdate,9
1725867849122,PositionUpdate,7
1725867849152,PositionUpdate,6
1725867849186,PositionUpdate,8
1725867849226,PositionUpdate,11
1725867849257,PositionUpdate,9
1725867849285,PositionUpdate,7
1725867849319,PositionUpdate,6
1725867849355,PositionUpdate,9
1725867849385,PositionUpdate,7
1725867849419,PositionUpdate,6
1725867849459,PositionUpdate,7
1725867852245,sendDepthBoxVertices,26
1725867853170,PositionUpdate,12
1725867853331,PositionUpdate,71
