Timestamp,Event,Duration(ms)
1725866485513,AnchorCreation,1
1725866485518,AnchorCreation,0
1725866485559,AnchorCreation,0
1725866485594,AnchorCreation,0
1725866485612,AnchorCreation,0
1725866485638,AnchorCreation,0
1725866485669,AnchorCreation,0
1725866485703,AnchorCreation,0
1725866485736,AnchorCreation,0
1725866485769,AnchorCreation,0
1725866485803,AnchorCreation,0
1725866485835,AnchorCreation,0
1725866485868,AnchorCreation,0
1725866485901,AnchorCreation,0
1725866485936,AnchorCreation,0
1725866485969,AnchorCreation,0
1725866486002,AnchorCreation,0
1725866486034,AnchorCreation,0
1725866486067,AnchorCreation,0
1725866486104,AnchorCreation,0
1725866486135,AnchorCreation,0
1725866486166,AnchorCreation,0
1725866486199,AnchorCreation,0
1725866486235,AnchorCreation,0
1725866486267,AnchorCreation,0
1725866486301,AnchorCreation,0
1725866486333,AnchorCreation,0
1725866486368,AnchorCreation,0
1725866486400,AnchorCreation,0
1725866486434,AnchorCreation,0
1725866486470,AnchorCreation,0
1725866486500,AnchorCreation,0
1725866486533,AnchorCreation,0
1725866486566,AnchorCreation,0
1725866486600,AnchorCreation,0
1725866486634,AnchorCreation,0
1725866486668,AnchorCreation,0
1725866486700,AnchorCreation,0
1725866486733,AnchorCreation,0
1725866486767,AnchorCreation,0
1725866486800,AnchorCreation,0
1725866486834,AnchorCreation,0
1725866486867,AnchorCreation,0
1725866486899,AnchorCreation,0
1725866486933,AnchorCreation,0
1725866486968,AnchorCreation,0
1725866486999,AnchorCreation,0
1725866487033,AnchorCreation,0
1725866487067,AnchorCreation,0
1725866487099,AnchorCreation,0
1725866487133,AnchorCreation,0
1725866487166,AnchorCreation,0
1725866487198,AnchorCreation,0
1725866487232,AnchorCreation,0
1725866487266,AnchorCreation,0
1725866487299,AnchorCreation,0
1725866487332,AnchorCreation,0
1725866487366,AnchorCreation,0
1725866487397,AnchorCreation,0
1725866487430,AnchorCreation,0
1725866487473,AnchorCreation,0
1725866487501,AnchorCreation,0
1725866487536,AnchorCreation,0
1725866487565,AnchorCreation,0
1725866487597,AnchorCreation,0
1725866487630,AnchorCreation,0
1725866487665,AnchorCreation,0
1725866487697,AnchorCreation,0
1725866487730,AnchorCreation,0
1725866487766,AnchorCreation,0
1725866487798,AnchorCreation,0
1725866487836,AnchorCreation,0
1725866487866,AnchorCreation,0
1725866487897,AnchorCreation,0
1725866487930,AnchorCreation,0
1725866487966,AnchorCreation,0
1725866487996,AnchorCreation,0
1725866488032,AnchorCreation,0
1725866488064,AnchorCreation,0
1725866488097,AnchorCreation,0
1725866488131,AnchorCreation,0
1725866488163,AnchorCreation,0
1725866488198,AnchorCreation,0
1725866488230,AnchorCreation,0
1725866488264,AnchorCreation,0
1725866488297,AnchorCreation,0
1725866488333,AnchorCreation,0
1725866488363,AnchorCreation,0
1725866488397,AnchorCreation,0
1725866488429,AnchorCreation,0
1725866488466,AnchorCreation,0
1725866488496,AnchorCreation,0
1725866488529,AnchorCreation,0
1725866488563,AnchorCreation,0
1725866488597,AnchorCreation,1
1725866488628,AnchorCreation,0
1725866488664,AnchorCreation,0
1725866488697,AnchorCreation,0
1725866488731,AnchorCreation,0
1725866488762,AnchorCreation,0
1725866488796,AnchorCreation,0
1725866488828,AnchorCreation,0
1725866488863,AnchorCreation,0
1725866488896,AnchorCreation,0
1725866488927,AnchorCreation,0
1725866488964,AnchorCreation,0
1725866488995,AnchorCreation,0
1725866489029,AnchorCreation,0
1725866489062,AnchorCreation,0
1725866489098,AnchorCreation,1
1725866489131,AnchorCreation,0
1725866489162,AnchorCreation,0
1725866489196,AnchorCreation,0
1725866489229,AnchorCreation,0
1725866489262,AnchorCreation,0
1725866489296,AnchorCreation,0
1725866489329,AnchorCreation,0
1725866489362,AnchorCreation,0
1725866489395,AnchorCreation,0
1725866489429,AnchorCreation,0
1725866489463,AnchorCreation,0
1725866489496,AnchorCreation,0
1725866489528,AnchorCreation,0
1725866489560,AnchorCreation,0
1725866489596,AnchorCreation,0
1725866489629,AnchorCreation,0
1725866489661,AnchorCreation,0
1725866489695,AnchorCreation,0
1725866489728,AnchorCreation,0
1725866489762,AnchorCreation,0
1725866489792,AnchorCreation,0
1725866489827,AnchorCreation,0
1725866489860,AnchorCreation,0
1725866489894,AnchorCreation,1
1725866489930,AnchorCreation,0
1725866489966,AnchorCreation,0
1725866489998,AnchorCreation,0
1725866490026,AnchorCreation,0
1725866490060,AnchorCreation,0
1725866490094,AnchorCreation,0
1725866490129,AnchorCreation,0
1725866490159,AnchorCreation,0
1725866490193,AnchorCreation,0
1725866490228,AnchorCreation,0
1725866490259,AnchorCreation,0
1725866490293,AnchorCreation,0
1725866490327,AnchorCreation,0
1725866490359,AnchorCreation,0
1725866490393,AnchorCreation,0
1725866490426,AnchorCreation,1
1725866490463,AnchorCreation,0
1725866490494,AnchorCreation,1
1725866490525,AnchorCreation,0
1725866490560,AnchorCreation,0
1725866490596,AnchorCreation,0
1725866490626,AnchorCreation,0
1725866490659,AnchorCreation,0
1725866490695,AnchorCreation,0
1725866490725,AnchorCreation,0
1725866490758,AnchorCreation,0
1725866490791,AnchorCreation,0
1725866490827,AnchorCreation,0
1725866490865,AnchorCreation,0
1725866490892,AnchorCreation,0
1725866490927,AnchorCreation,0
1725866490969,AnchorCreation,1
1725866491001,AnchorCreation,0
1725866491028,AnchorCreation,0
1725866491076,AnchorCreation,1
1725866491098,AnchorCreation,0
1725866491126,AnchorCreation,0
1725866491162,AnchorCreation,0
1725866491192,AnchorCreation,0
1725866491226,AnchorCreation,0
1725866491259,AnchorCreation,0
1725866491292,AnchorCreation,1
1725866491326,AnchorCreation,0
1725866491360,AnchorCreation,0
1725866491392,AnchorCreation,0
1725866491424,AnchorCreation,0
1725866491461,AnchorCreation,0
1725866491490,AnchorCreation,0
1725866491524,AnchorCreation,0
1725866491557,AnchorCreation,1
1725866491589,AnchorCreation,0
1725866491624,AnchorCreation,1
1725866491657,AnchorCreation,1
1725866491690,AnchorCreation,0
1725866491724,AnchorCreation,0
1725866491757,AnchorCreation,0
1725866491789,AnchorCreation,0
1725866491824,AnchorCreation,0
1725866491857,AnchorCreation,0
1725866491890,AnchorCreation,0
1725866491930,AnchorCreation,0
1725866491959,AnchorCreation,0
1725866491991,AnchorCreation,0
1725866492023,AnchorCreation,0
1725866492057,AnchorCreation,0
1725866492090,AnchorCreation,0
1725866492123,AnchorCreation,0
1725866492158,AnchorCreation,0
1725866492189,AnchorCreation,0
1725866492226,AnchorCreation,0
1725866492259,AnchorCreation,0
1725866492290,AnchorCreation,0
1725866492323,AnchorCreation,0
1725866492356,AnchorCreation,0
1725866492388,AnchorCreation,0
1725866492423,AnchorCreation,0
1725866492460,AnchorCreation,0
1725866492492,AnchorCreation,0
1725866492522,AnchorCreation,0
1725866492555,AnchorCreation,0
1725866492589,AnchorCreation,1
1725866492623,AnchorCreation,0
1725866492656,AnchorCreation,0
1725866492687,AnchorCreation,0
1725866492722,AnchorCreation,0
1725866492755,AnchorCreation,1
1725866492789,AnchorCreation,0
1725866492827,AnchorCreation,0
1725866492854,AnchorCreation,0
1725866492888,AnchorCreation,0
1725866492922,AnchorCreation,0
1725866492957,AnchorCreation,0
1725866493000,AnchorCreation,1
1725866493032,AnchorCreation,0
1725866493055,AnchorCreation,0
1725866493088,AnchorCreation,0
1725866493120,AnchorCreation,0
1725866493152,AnchorCreation,0
1725866493189,AnchorCreation,0
1725866493222,AnchorCreation,0
1725866493256,AnchorCreation,0
1725866493287,AnchorCreation,0
1725866493323,AnchorCreation,1
1725866493354,AnchorCreation,0
1725866493388,AnchorCreation,0
1725866493421,AnchorCreation,0
1725866493460,AnchorCreation,1
1725866493487,AnchorCreation,0
1725866493520,AnchorCreation,0
1725866493555,AnchorCreation,0
1725866493588,AnchorCreation,0
1725866493619,AnchorCreation,0
1725866493653,AnchorCreation,0
1725866493687,AnchorCreation,0
